"Nation","nation"
"Avron","avron"
"Alexandre-Dumas","alexandre+dumas"
"Philippe Auguste","philippe+auguste"
"Pere-Lachaise","pere+lachaise"
"Menilmontant","menilmontant"
"Couronnes","couronnes"
"Belleville","belleville"
"Colonel Fabien","colonel+fabien"
"Jaures","jaures"
"Stalingrad","stalingrad"
"La Chapelle","la+chapelle"
"Barbes-Rochechouart","barbes+rochechouart"
"Anvers","anvers"
"Pigalle","pigalle"
"Blanche","blanche"
"Place de Clichy","place+de+clichy"
"Rome","rome"
"Villiers","villiers"
"Monceau","monceau"
"Courcelles","courcelles"
"Ternes","ternes"
"Charles de Gaulle-Etoile","charles+de+gaulle+etoile"
"Victor Hugo","victor+hugo"
"Porte Dauphine (Marechal de Lattre de Tassigny)","porte+dauphine+(marechal+de+lattre+de+tassigny)"
