"Aeroport Charles de Gaulle 2 TGV","aeroport+charles+de+gaulle+2+tgv"
"Aeroport Charles de Gaulle 1","aeroport+charles+de+gaulle+1"
"Parc des Expositions","parc+des+expositions"
"Villepinte","villepinte"
"Sevran-Beaudottes","sevran+beaudottes"
"Mitry-Claye","mitry+claye"
"Villeparisis","villeparisis"
"Vert-Galant","vert+galant"
"Sevran Livry","sevran+livry"
"Aulnay-sous-Bois","aulnay+sous+bois"
"Blanc-Mesnil","blanc+mesnil"
"Drancy","drancy"
"Le Bourget","le+bourget"
"La Courneuve-Aubervilliers","la+courneuve+aubervilliers"
"La Plaine-Stade de France","la+plaine+stade+de+france"
"Gare du Nord","gare+du+nord"
"Chatelet-Les Halles","chatelet+les+halles"
"Saint-Michel Notre-Dame","saint+michel+notre+dame"
"Luxembourg","luxembourg"
"Port-Royal","port+royal"
"Denfert-Rochereau","denfert+rochereau"
"Cite Universitaire","cite+universitaire"
"Gentilly","gentilly"
"Laplace","laplace"
"Arcueil-Cachan","arcueil+cachan"
"Bagneux","bagneux"
"Bourg-la-Reine","bourg+la+reine"
"Sceaux","sceaux"
"Fontenay-aux-Roses","fontenay+aux+roses"
"Robinson","robinson"
"Parc de Sceaux","parc+de+sceaux"
"La Croix-de-Berny","la+croix+de+berny"
"Antony","antony"
"Fontaine-Michalon","fontaine+michalon"
"Les Baconnets","les+baconnets"
"Massy-Verrieres","massy+verrieres"
"Massy-Palaiseau","massy+palaiseau"
"Palaiseau","palaiseau"
"Palaiseau Villebon","palaiseau+villebon"
"Lozere","lozere"
"Le Guichet","le+guichet"
"Orsay-Ville","orsay+ville"
"Bures-sur-Yvette","bures+sur+yvette"
"La Hacquiniere","la+hacquiniere"
"Gif-sur-Yvette","gif+sur+yvette"
"Courcelle-sur-Yvette","courcelle+sur+yvette"
"Saint-Remy-les-Chevreuse","saint+remy+les+chevreuse"
