"Saint-Germain-en-Laye","saint+germain+en+laye"
"Le Vesinet-Le Pecq","le+vesinet+le+pecq"
"Le Vesinet-Centre","le+vesinet+centre"
"Chatou-Croissy","chatou+croissy"
"Rueil-Malmaison","rueil+malmaison"
"Nanterre-Ville","nanterre+ville"
"Nanterre-Universite","nanterre+universite"
"Cergy-Le-Haut","cergy+le+haut"
"Cergy-Saint-Christophe","cergy+saint+christophe"
"Cergy-Prefecture","cergy+prefecture"
"Neuville-Universite","neuville+universite"
"Conflans-Fin d'Oise","conflans+fin+d'oise"
"Acheres-Ville","acheres+ville"
"Poissy","poissy"
"Acheres Grand Cormier","acheres+grand+cormier"
"Maisons-Laffitte","maisons+laffitte"
"Sartrouville","sartrouville"
"Houilles Carrieres-sur-Seine","houilles+carrieres+sur+seine"
"Nanterre-Prefecture","nanterre+prefecture"
"La Defense (Grande Arche)","la+defense+(grande+arche)"
"Charles de Gaulle-Etoile","charles+de+gaulle+etoile"
"Auber","auber"
"Chatelet-Les Halles","chatelet+les+halles"
"Gare de Lyon","gare+de+lyon"
"Nation","nation"
"Vincennes","vincennes"
"Val de Fontenay","val+de+fontenay"
"Neuilly-Plaisance","neuilly+plaisance"
"Bry-sur-Marne","bry+sur+marne"
"Noisy-le-Grand (Mont d'Est)","noisy+le+grand+(mont+d'est)"
"Noisy-Champs","noisy+champs"
"Noisiel","noisiel"
"Lognes","lognes"
"Torcy","torcy"
"Bussy-Saint-Georges","bussy+saint+georges"
"Val d'europe","val+d'europe"
"Marne-la-Vallee Chessy","marne+la+vallee+chessy"
"Fontenay-sous-Bois","fontenay+sous+bois"
"Nogent-sur-Marne","nogent+sur+marne"
"Joinville-le-Pont","joinville+le+pont"
"Saint-Maur Creteil","saint+maur+creteil"
"Le Parc de Saint-Maur","le+parc+de+saint+maur"
"Champigny","champigny"
"La Varenne-Chennevieres","la+varenne+chennevieres"
"Sucy Bonneuil","sucy+bonneuil"
"Boissy-Saint-Leger","boissy+saint+leger"
